paperID,ref,sampleID,news_family,n,yi,vi
41,Eun-Ju_2023,3,politically_discordant,320,-0.26603715841720554,0.01261058714009172
41,Eun-Ju_2023,12,politically_concordant,400,-0.25057040813880593,0.01007848191179356
41,Eun-Ju_2023,6,politically_concordant,320,-0.14234249220824988,0.012531658414200088
41,Eun-Ju_2023,9,politically_discordant,400,0,0.01
41,Eun-Ju_2023,9,politically_concordant,400,0.08543586147926152,0.01000912410803338
69,Shirikov_2024,3,politically_concordant,72880.48,0.12931242352111702,5.499910060195066e-5
56,Garrett_2021,1,politically_concordant,2212,0.13710325413524707,0.0018125672021461288
41,Eun-Ju_2023,6,politically_discordant,320,0.13966153389552285,0.012530477100078204
69,Shirikov_2024,3,politically_discordant,72880.48,0.17712356223551964,5.50996148509107e-5
41,Eun-Ju_2023,12,politically_discordant,400,0.17847141330652905,0.010039815056709537
69,Shirikov_2024,4,politically_discordant,14625.28,0.2161790341579974,2.7509672891081345e-4
69,Shirikov_2024,4,politically_concordant,14625.28,0.25239289706762524,2.756768477078794e-4
58,Lyons_2024,1,politically_discordant,4848,0.28431179494249603,8.334192653406997e-4
58,Lyons_2024,1,politically_concordant,4842,0.31265996303793353,8.361995304096326e-4
58,Lyons_2024,3,politically_discordant,4701,0.31454889854759305,8.614061911909704e-4
58,Lyons_2024,3,politically_concordant,4692,0.332503047088685,8.642964915092988e-4
64,Guess_2024,5,politically_concordant,810,0.337643622572753,0.005008643960409908
55,Gawronski_2023,2,politically_discordant,8850,0.33981634270209093,4.5850142072132344e-4
58,Lyons_2024,1,politically_discordant,4788,0.3517364045362883,8.483415307305885e-4
64,Guess_2024,5,politically_discordant,810,0.3631048194760861,0.005019657475263433
58,Lyons_2024,1,politically_concordant,4788,0.366882505568894,8.494781508868535e-4
41,Eun-Ju_2023,3,politically_concordant,320,0.3746960937169627,0.012719370566635548
55,Gawronski_2023,2,politically_concordant,8850,0.38046834141611946,4.6015571518756684e-4
54,Mairal_2023,1,politically_concordant,1800,0.38943539227149404,0.0022643499790982367
55,Gawronski_2023,1,politically_concordant,5580,0.4115962710679688,7.320261192076216e-4
55,Gawronski_2023,1,politically_discordant,5580,0.4226344450439404,7.328512432022939e-4
56,Garrett_2021,1,politically_discordant,5124,0.42718229322829826,7.984469859141089e-4
54,Mairal_2023,2,politically_concordant,2400,0.4278419209337475,0.001704801814439225
54,Mairal_2023,1,politically_discordant,1800,0.4333347787594764,0.0022743830640229233
61,Epstein_2023,3,politically_discordant,11568,0.4432243244461934,3.5427246722773105e-4
61,Epstein_2023,3,politically_concordant,11556,0.46975149603238137,3.5568823416513764e-4
61,Epstein_2023,5,politically_concordant,10968,0.4803978335855725,3.752180013910335e-4
56,Garrett_2021,1,politically_concordant,5124,0.496872570825898,8.047309086298924e-4
61,Epstein_2023,5,politically_discordant,10968,0.5408975072350144,3.7803474258447543e-4
56,Garrett_2021,1,politically_discordant,3960,0.6063289888621018,0.0010565195508503206
56,Garrett_2021,1,politically_concordant,3960,0.6066127779269372,0.001056563012922252
28,Rathje_2023,4,politically_concordant,2056,0.6229150897804603,0.0020398889127130836
56,Garrett_2021,1,politically_concordant,3064,0.6245668819117449,0.0013691389996705221
56,Garrett_2021,1,politically_concordant,1704.5,0.6263549231297516,0.0024618129920002574
64,Guess_2024,3,politically_concordant,3050,0.6289650048359977,0.0013763273733292372
54,Mairal_2023,2,politically_discordant,2400,0.6425151614794076,0.0017526720276522729
58,Lyons_2024,1,politically_discordant,1656,0.6482799107254226,0.002542351099833986
56,Garrett_2021,1,politically_concordant,3521,0.6629249745725712,0.0011984478162328947
56,Garrett_2021,1,politically_concordant,2976,0.6703613194205675,0.0014195874157552561
56,Garrett_2021,1,politically_discordant,2212,0.6729966790478896,0.0019106972264940072
28,Rathje_2023,11,politically_concordant,2728,0.6762727519356684,0.0015500998597893405
28,Rathje_2023,4,politically_discordant,2056,0.6785572378360597,0.0020574999817654918
28,Rathje_2023,10,politically_discordant,2832,0.6999800949532724,0.001498935758003318
28,Rathje_2023,11,politically_discordant,2728,0.7178468232297249,0.0015607228851944662
56,Garrett_2021,1,politically_discordant,3984,0.7182711086530184,0.001068764230111149
28,Rathje_2023,10,politically_concordant,2832,0.7182888825721295,0.0015035202893408754
64,Guess_2024,3,politically_discordant,3050,0.7242764538122586,0.0013974715379585017
56,Garrett_2021,1,politically_concordant,1533,0.7267962643183135,0.0027815501662841018
56,Garrett_2021,1,politically_concordant,2988,0.7280157807327375,0.0014273773388547351
64,Guess_2024,1,politically_concordant,2970,0.7421144754011931,0.0014395174906733988
56,Garrett_2021,1,politically_discordant,2976,0.7584001453852501,0.001440720897264847
28,Rathje_2023,2,politically_concordant,1872,0.7674607656211635,0.00229406945159397
58,Lyons_2024,1,politically_concordant,1653,0.778945242766416,0.0026033743772620787
12,Bago_2022,2,politically_concordant,2704,0.7845813916385006,0.0015931153772384256
28,Rathje_2023,8,politically_concordant,2820,0.7997834977009726,0.0015318534828359578
11,Bago_2020,3,politically_discordant,2872,0.8118507826787765,0.0015075037766950107
11,Bago_2020,3,politically_concordant,2872,0.8161994126327262,0.0015087363302893468
12,Bago_2022,2,politically_discordant,2704,0.822917918799759,0.00160451070656097
56,Garrett_2021,1,politically_concordant,4216,0.827205637701627,0.0010299180700955118
56,Garrett_2021,1,politically_discordant,1704.5,0.8322515933595677,0.0025499098605601465
56,Garrett_2021,1,politically_concordant,3912,0.8340077847710841,0.0011113968539185547
12,Bago_2022,1,politically_discordant,7984,0.8551613757662359,5.467999109846193e-4
28,Rathje_2023,2,politically_discordant,1872,0.8626617238749473,0.0023355195645937223
12,Bago_2022,5,politically_discordant,11992,0.8638241125461461,3.646677825807262e-4
64,Guess_2024,1,politically_discordant,2970,0.8851331502538026,0.001478697086477815
56,Garrett_2021,1,politically_concordant,3984,0.8964926826158905,0.0011048819189236742
12,Bago_2022,1,politically_concordant,7984,0.9000344874930972,5.517323446065231e-4
12,Bago_2022,5,politically_concordant,11992,0.9152337204939633,3.6848118592099825e-4
28,Rathje_2023,8,politically_discordant,2820,0.9233814528838423,0.0015696158346684178
56,Garrett_2021,1,politically_discordant,3912,0.9498180567078449,0.0011378009126851059
56,Garrett_2021,1,politically_discordant,4216,0.9791036764379415,0.0010624577809789247
56,Garrett_2021,1,politically_discordant,3064,1.0048368706780813,0.0014702508382301107
27,Sultan_2022,1,politically_discordant,12224,1.0061216173126404,3.686305918203454e-4
56,Garrett_2021,1,politically_discordant,3521,1.019611375809296,0.0012836704569269704
27,Sultan_2022,1,politically_concordant,12224,1.0447605591027938,3.71871916960765e-4
56,Garrett_2021,1,politically_discordant,2988,1.1655974678500043,0.0015660337110204722
56,Garrett_2021,1,politically_discordant,1533,1.1909381238320824,0.0030718635403772605
3,Pennycook_2018,1,politically_discordant,2847,1.4300876491291699,0.00176416415247485
12,Bago_2022,7,politically_discordant,12096,1.4686936140293883,4.1985205571638167e-4
12,Bago_2022,7,politically_concordant,12096,1.5356378843744265,4.2816566269535236e-4
19,Badrinathan_2021,1,politically_concordant,2842,1.5897437029604762,0.001852090964303745
3,Pennycook_2018,1,politically_concordant,2847,1.610201839073346,0.0018603354342387047
19,Badrinathan_2021,1,politically_discordant,2842,2.2330496906215287,0.0022847485786039595
